LOC,BLOCK,Type,GEN,Trait1,Trait2
loc1,1,check,genotest,96.8,10.56
loc3,1,check,genotest,77,17.325
loc2,1,check,genotest,89.1,13.2
loc1,1,test,genox102,123.2,7.48
loc3,1,test,genox102,89.65,12.76
loc2,1,test,genox102,107.8,15.4
loc1,1,test,genox113,108.46,11.88
loc3,1,test,genox113,77.44,11
loc2,1,test,genox113,96.8,14.85
loc1,1,test,genox115,115.5,7.04
loc3,1,test,genox115,86.35,12.98
loc2,1,test,genox115,102.3,12.375
loc1,1,test,genox117,98.34,6.6
loc3,1,test,genox117,75.46,10.725
loc2,1,test,genox117,100.32,15.95
loc1,1,test,genox142,107.525,6.38
loc3,1,test,genox142,88.66,16.86666666
loc2,1,test,genox142,109.56,14.52
loc1,1,test,genox147,122.375,8.14
loc3,1,test,genox147,86.24,13.2
loc2,1,test,genox147,109.78,15.62
loc1,1,test,genox151,111.98,7.7
loc3,1,test,genox151,86.24,13.475
loc2,1,test,genox151,110.88,18.425
loc1,1,test,genox155,111.32,10.34
loc3,1,test,genox155,83.325,14.3
loc2,1,test,genox155,100.1,16.775
loc1,1,test,genox157,110.88,7.48
loc3,1,test,genox157,84.975,14.025
loc2,1,test,genox157,105.6,17.6
loc1,1,test,genox177,129.25,10.12
loc3,1,test,genox177,107.25,13.475
loc2,1,test,genox177,114.18,14.96
loc1,1,test,genox194,127.05,6.38
loc3,1,test,genox194,131.2666666,12.1
loc2,1,test,genox194,126.5,12.925
loc1,1,test,genox195,132.3666666,6.16
loc3,1,test,genox195,114.95,9.46
loc2,1,test,genox195,130.9,12.925
loc1,1,test,genox20,116.9666666,4.62
loc3,1,test,genox20,87.34,7.7
loc2,1,test,genox20,112.86,10.45
loc1,1,test,genox206,108.9,8.14
loc3,1,test,genox206,97.02,14.08
loc2,1,test,genox206,113.3,17.96666666
loc1,1,test,genox23,114.4,7.04
loc3,1,test,genox23,94.325,9.02
loc2,1,test,genox23,102.3,14.3
loc1,1,test,genox238,115.225,8.36
loc3,1,test,genox238,79.475,10.175
loc2,1,test,genox238,100.54,19.25
loc1,1,test,genox24,112.75,8.8
loc3,1,test,genox24,85.14,13.2
loc2,1,test,genox24,107.58,17.05
loc1,1,test,genox240,117.04,5.94
loc3,1,test,genox240,85.14,11
loc2,1,test,genox240,105.82,10.45
loc1,1,test,genox241,109.725,6.6
loc3,1,test,genox241,89.46666666,12.375
loc2,1,test,genox241,102.3,12.98
loc1,1,test,genox247,121,6.82
loc3,1,test,genox247,93.86666666,12.375
loc2,1,test,genox247,108.9,13.86
loc1,1,test,genox262,111.65,11.22
loc3,1,test,genox262,81.84,11.73333334
loc2,1,test,genox262,109.56,14.74
loc1,1,test,genox303,114.84,8.36
loc3,1,test,genox303,89.375,19.06666666
loc2,1,test,genox303,106.26,13.42
loc1,1,test,genox314,118.8,6.82
loc3,1,test,genox314,91.85,13.2
loc2,1,test,genox314,111.98,12.83333334
loc1,1,test,genox315,115.28,6.16
loc3,1,test,genox315,94.96666666,15.4
loc2,1,test,genox315,111.1,9.24
loc1,1,test,genox331,110.88,7.92
loc3,1,test,genox331,92.18,14.3
loc2,1,test,genox331,102.52,15.4
loc1,1,test,genox335,111.1,8.58
loc3,1,test,genox335,89.32,10.78
loc2,1,test,genox335,96.8,14.74
loc1,1,test,genox42,151.525,7.04
loc3,1,test,genox42,133.1,11.825
loc2,1,test,genox42,157.3,15.62
loc1,1,test,genox43,155.375,7.7
loc3,1,test,genox43,73.92,17.23333334
loc2,1,test,genox43,110.22,15.4
loc1,1,test,genox52,114.7666666,8.58
loc3,1,test,genox52,88,12.46666666
loc2,1,test,genox52,104.94,18.26
loc1,1,test,genox67,111.925,5.72
loc3,1,test,genox67,83.6,12.65
loc2,1,test,genox67,108.02,12.76
