Pedigree,LOC,Trait
tester4,loc1,83.41771083
tester4,loc2,81.47183762
tester4,LOC3,85.10156487
tester4,LOC4,79.5495636
Genox100,loc1,80.76843325
Genox100,loc2,81.73479163
Genox100,LOC3,81.24923047
Genox100,LOC4,80.89098672
Genox101,loc1,79.10371436
Genox101,loc2,79.47815098
Genox101,LOC3,80.9958285
Genox101,LOC4,80.53321776
Genox105,loc1,81.59586521
Genox105,loc2,82.02811383
Genox105,LOC3,81.69495693
Genox105,LOC4,81.40973338
Genox106,loc1,80.49879339
Genox106,loc2,79.89835958
Genox106,LOC3,80.62998941
Genox106,LOC4,80.47375933
Genox109,loc1,72.03523127
Genox109,loc2,72.789317
Genox109,LOC3,72.41961881
Genox109,LOC4,72.03599269
Genox11,loc1,69.58664207
Genox11,loc2,68.32748641
Genox11,LOC4,70.68395419
Genox113,loc1,71.00218976
Genox113,loc2,70.57909142
Genox113,LOC3,70.97237658
Genox113,LOC4,71.29090475
Genox114,loc1,70.63015083
Genox114,loc2,70.55799225
Genox114,LOC3,69.85364905
Genox114,LOC4,71.46620045
Genox115,loc1,71.80674901
Genox115,loc2,71.45343434
Genox115,LOC3,72.24395522
Genox115,LOC4,72.25424378
Genox117,loc1,74.68403559
Genox117,loc2,75.18706017
Genox117,LOC3,74.37273361
Genox117,LOC4,76.24492255
Genox118,loc1,76.01327186
Genox118,loc2,76.50120292
Genox118,LOC3,75.43538686
Genox118,LOC4,76.59460507
Genox119,loc1,74.51603873
Genox119,loc2,75.31791628
Genox119,LOC3,75.32570285
Genox119,LOC4,75.40664983
Genox124,loc1,75.55979742
Genox124,loc2,76.50123413
Genox124,LOC3,76.87698572
Genox124,LOC4,77.00093769
Genox127,loc1,76.32198081
Genox127,loc2,75.97983513
Genox127,LOC3,76.43045407
Genox127,LOC4,76.89685005
Genox16,loc1,71.0746973
Genox16,loc2,69.88030855
Genox16,LOC3,72.79469366
Genox16,LOC4,69.69677972
Genox20,loc1,77.44634577
Genox20,loc2,77.23022529
Genox20,LOC3,78.49627065
Genox20,LOC4,78.02468329
Genox21,loc1,77.45632186
Genox21,loc2,76.63197542
Genox21,LOC3,78.72769987
Genox21,LOC4,78.47781396
Genox22,loc1,76.24296211
Genox22,loc2,75.31026794
Genox22,LOC3,77.5647725
Genox22,LOC4,76.66508295
