Pedigree,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9
GENO1,10.02193714,2.087298847,17.38656145,4.257320761,101.1761133,90.3078959,64.06790746,2.104666463,5.76085688
GENO2,9.611874708,1.794881372,14.87695553,3.866960389,97.63658926,88.33460134,69.94086815,1.899503935,6.40997829
GENO3,9.402968724,1.726431691,14.74928437,3.586539397,95.54327963,87.54696845,67.51860725,1.925275646,6.460492904
GENO4,9.712571378,1.729174313,14.95971286,3.930936486,97.02063917,87.94659692,69.01863178,1.883919671,6.687620256
GENO5,9.569189671,1.735777224,15.19312649,3.628751956,98.6221088,88.95288125,69.67152536,1.94308873,6.582886376
GENO6,8.470858885,1.891453859,15.16498931,4.68820236,96.08899774,87.7011915,62.55356994,2.194162516,5.361834469
GENO7,8.274698614,1.779582577,14.16766524,4.97244301,98.1614945,84.89748527,55.49185236,2.107989185,5.477304697
GENO8,8.331586208,1.905188843,15.49792656,3.990194386,95.43236364,87.35785416,62.53932668,2.276128105,5.24847614
GENO9,8.283710048,1.900665292,14.98223651,4.732909417,93.5765477,84.85345902,59.69041728,2.199397429,5.236542457
GENO10,8.441403511,1.924497473,15.27435347,4.784937394,96.77244173,87.64494221,61.03150108,2.200444429,5.271577244
GENO11,8.817940894,1.819156892,15.49021158,5.725034562,96.3516195,86.38873223,63.07211465,2.142582466,5.777941886
GENO12,8.988873221,1.761530867,15.39800474,5.423273772,96.50816138,87.80383985,65.0804343,2.077982795,6.079607461
GENO13,8.823649518,1.708504966,14.60575046,3.941359435,99.93881336,90.0625935,67.63893389,2.023242998,6.14151128
GENO14,8.941625527,1.687014733,14.4921319,3.777997824,99.3560857,88.92646646,67.09417634,1.977292909,6.276313493
GENO15,9.0259879,1.747724737,15.12241486,3.637844982,99.79805785,89.66014118,66.11064689,2.048013421,6.153266488
GENO16,8.473028965,1.872365125,14.90574322,3.611439866,100.6050036,90.21066368,73.69219235,2.159238679,5.400518579
GENO17,9.313348873,1.772270172,15.93624468,4.078079442,97.31331823,85.81986757,63.48001109,2.098784976,6.191514181
GENO18,9.240711149,1.666240072,15.20157238,3.469532002,99.11150156,76.27084242,58.64268908,2.024326236,6.537864942
GENO19,9.080337932,1.724225017,15.78613478,3.641011118,97.16626944,84.56338391,52.11335996,2.133030958,6.238408874
GENO20,8.733290822,2.108935409,15.30181212,3.604239616,95.87355461,80.51192179,59.53030579,2.171126735,5.225815459
GENO21,9.445721808,1.947672852,18.30804272,3.786256844,102.3657369,91.40410698,68.12662182,2.367756953,5.756418235
GENO22,9.226251863,1.944431135,17.34297151,4.111859478,98.57830564,88.37623982,68.99028888,2.312892104,5.670594563
GENO23,9.762254226,1.862741654,16.8382367,3.810562891,100.048362,88.22972375,66.33516125,2.113334192,6.27331753
GENO24,9.350739418,1.828502342,16.06339459,4.766315344,99.99761734,87.64697141,64.31140602,2.118196736,6.109788403
GENO25,9.91884688,1.88239545,16.7771714,4.687935508,99.48087715,90.22254642,65.04064615,2.068620247,6.297091051
GENO26,8.108920207,1.718316592,13.40986309,4.432184124,97.68285236,84.6425894,62.363039,2.038497668,5.537701742
GENO27,9.708900487,1.819450832,15.76934195,4.244381464,95.6460299,86.30564399,64.81394486,1.997723416,6.387744806
GENO28,8.176559941,2.198249155,16.26318031,3.75884088,100.9782467,91.32780469,70.13456867,2.464241762,4.493777141
GENO29,9.828136054,1.810007483,16.53010972,3.904960733,100.7162869,92.3727818,68.64373266,2.061535039,6.485060054
GENO30,9.199610119,1.744174721,14.7689568,4.276559509,95.21722381,86.99519494,67.08433962,1.982417947,6.184219669
GENO31,9.126477577,1.814076043,15.90528796,3.990909826,99.83352896,90.09742513,64.21880904,2.155416592,5.905269709
GENO32,9.506487314,1.807765555,17.2332737,3.750609322,98.72273386,89.27916023,64.8419247,2.232159389,6.256389798
GENO33,8.445472644,1.904721989,14.51621536,4.84125428,100.1939029,87.79344976,67.51804566,2.105554867,5.20220165
GENO34,9.164888074,1.830658808,16.42964854,3.670507751,99.79592162,91.13710454,74.32033708,2.203483288,5.961287345
GENO35,9.385682137,1.942210086,15.78002464,4.14003396,100.582872,92.26500347,72.66973046,2.062787104,5.847876551
GENO36,10.10081808,2.03731393,16.15754622,6.248833896,101.1686728,91.62668585,69.61553777,1.963158184,5.893658138
GENO37,9.726651294,1.848985678,16.64549018,4.837631964,98.81203145,90.38327539,66.2109988,2.103119544,6.166666248
GENO38,9.760836584,1.939032587,17.3847879,4.945480787,101.0006774,91.90331334,67.47952891,2.18158363,5.966292167
GENO39,9.897213257,1.947366428,17.0420298,4.949250659,100.4934974,92.23364718,67.32333362,2.10438576,6.031838591
GENO40,9.850569941,1.981875634,17.33609924,4.332400859,101.6068992,92.50856545,66.95871786,2.173916932,5.880482059
GENO41,9.646414738,1.972255536,18.17927878,4.007724322,103.2532899,94.07768682,67.77794854,2.31962953,5.790707741
GENO42,9.874323234,1.95753252,16.63380508,4.988013156,101.6229722,91.7992552,60.28861517,2.066932073,6.01120631
GENO43,9.979609304,1.976038406,17.4815991,4.72449723,97.39581103,90.20952378,64.86105986,2.147278958,5.999624953
GENO44,9.778556129,2.091452425,17.95064381,4.543858279,103.1726244,95.0811006,73.55067977,2.249832748,5.572025569
GENO45,8.679876737,1.835695603,13.44375419,4.853998505,100.3538074,85.35014807,69.91787486,1.896060786,5.613636424
GENO46,9.829329288,1.953966402,17.59113446,4.55648385,102.0365499,93.61895542,67.8462887,2.200544146,5.965870853
GENO47,9.093475315,1.877995608,16.99933048,4.338257377,105.1536855,91.75903543,60.54841326,2.300657111,5.764154218
GENO48,8.848950823,1.792190137,16.21367947,4.091530943,34.8562989,35.61711192,65.37978049,2.243361026,5.897631149
GENO49,9.459342743,1.834627697,16.37834567,4.80736467,103.0332872,95.5265584,69.78250829,2.15492403,6.015990331
GENO50,9.420460403,1.900355228,16.45316874,5.192338991,102.1928008,93.67291718,66.20620896,2.167198399,5.83856528
GENO51,9.508375711,1.976934724,16.33415389,4.63676122,102.4816696,90.89400898,65.22771926,2.124240803,5.718492905
GENO52,9.451964551,1.854284308,15.91760926,4.867572565,101.9194785,92.50841581,66.24102452,2.0594518,6.101204644
GENO53,9.822682978,1.889122758,16.25086514,4.989304411,99.45684421,90.72163022,65.4193066,2.024643948,6.174605802
GENO54,9.685227671,1.960434979,16.3288692,5.163026598,101.0770149,92.09585158,65.68775413,2.051462378,5.943321362
GENO55,8.973135685,1.893371022,15.36581392,3.634783565,99.76330604,91.45691128,69.41274259,2.082846982,5.739261212
GENO56,9.06131204,1.875262912,14.37983648,4.470046765,98.97520918,89.3673912,69.28124875,1.933955944,5.788238737
GENO57,7.774130047,1.978243505,14.73382384,3.606833896,101.3948484,91.94962909,68.63876988,2.32520871,4.729707148
GENO58,8.490105655,2.113940632,15.42003138,3.971439554,96.97957108,89.72302513,74.30544278,2.225643571,4.860337018
GENO59,7.703230439,2.081815607,14.40302988,4.172484103,99.74311627,89.65089017,66.18317912,2.29136133,4.44842355
GENO60,9.933637685,1.707894742,14.03910011,5.028651713,96.81633814,88.43058905,67.93181208,1.730325821,6.969525784
GENO61,8.048443502,2.093361535,13.96983316,3.800426942,99.88418612,89.41087609,68.44108674,2.136812082,4.639834627
GENO62,8.395670804,1.723127198,14.41141183,3.695948286,101.1292542,92.07117677,76.10150918,2.12478347,5.736564968
GENO63,9.644939051,1.690003339,15.03937027,3.680371,96.76617908,88.3408228,68.03280961,1.911102473,6.785333398
GENO64,9.602101994,1.919608565,14.30814569,5.240029828,97.60766802,89.26634473,70.26023468,1.816539881,5.967283028
GENO65,9.777096896,2.030454934,16.82038471,4.52617201,101.3439713,91.3889427,68.17113139,2.07281621,5.838796757
GENO66,9.854961295,2.023461596,17.58063278,4.510982592,102.2387998,92.13617897,67.47027683,2.144177662,5.874748115
GENO67,9.610297277,1.999044006,17.43416866,4.692878368,101.3646096,91.51994233,61.91692693,2.194819572,5.758588436
GENO68,9.56967178,1.941908945,17.57939999,3.907802658,101.6638525,92.02629745,68.30871305,2.224930957,5.862316812
GENO69,10.0146341,1.923008614,19.89537767,3.622253074,97.86383462,88.9048248,61.74442831,2.399040656,6.247205814
GENO70,9.68000732,1.977803024,18.35814421,3.944923322,99.76012051,89.62997782,71.51345118,2.298087269,5.915688634
GENO71,9.529051937,1.892795873,19.07734678,3.779755328,98.45015042,89.78562667,64.3247122,2.426156468,6.020654975
GENO72,9.016492325,1.937007673,16.78602202,3.570646553,95.69984032,86.13915881,68.04127675,2.233233428,5.63775058
GENO73,9.88481709,1.953870294,17.52149648,4.382278584,96.99370142,89.60620052,66.40570476,2.127512768,6.053499137
GENO74,9.940216948,1.925697858,19.73121809,4.134318475,98.68132031,89.28155707,61.26041173,2.38802431,6.229725968
GENO75,10.08567367,2.010591757,19.24180945,4.03652148,98.47375896,90.04151461,68.43596111,2.294266613,6.035691324
GENO76,9.978841823,2.013133856,19.54523558,3.816904232,99.19456288,89.53114438,73.54180924,2.372738574,5.95680244
GENO77,9.170687891,1.90065677,16.17418106,4.114203882,100.5157962,89.60318285,72.6187583,2.129439854,5.784442651
GENO78,9.000672434,1.792744018,16.59317838,4.10266369,100.5407676,88.02091879,59.99269043,2.214880267,6.017986547
GENO79,9.074175859,1.848883266,17.51923932,3.850443186,99.38601604,86.91984816,61.9429766,2.344402603,5.860571083
GENO80,9.49183728,1.994777602,17.78766217,4.07192879,100.9909195,91.33625171,66.4056045,2.271585448,5.69954476
GENO81,9.220843136,1.947602298,15.81694963,5.452187647,101.3233993,90.75455232,68.50034089,2.065466936,5.714136292
GENO82,9.52783028,1.977027319,17.3920102,4.300282552,100.1058333,90.25543436,68.17101301,2.206447236,5.799646679
GENO83,9.600162178,1.968679354,17.38322555,4.866775004,101.0129122,88.06627051,61.70571073,2.203231769,5.836796959
GENO84,9.56495577,1.974644788,16.88003664,4.973938764,100.8300219,90.7233455,63.80829919,2.142752537,5.776066054
GENO85,9.76718314,1.895008746,16.92971345,4.913976121,100.0632969,89.66964667,58.3829081,2.093464556,6.14578787
GENO86,9.675570439,1.999765105,17.13219162,4.813850419,100.8092712,89.99796977,64.41633089,2.136567041,5.816691368
