Parent1,Parent2,Replication,yieldf
1,1,1,38.4
2,1,1,45.55
3,1,1,57.99
4,1,1,51.05
5,1,1,51.85
6,1,1,60.28
7,1,1,54.5
8,1,1,46.37
9,1,1,49.77
10,1,1,39.47
11,1,1,48.32
12,1,1,44.5
13,1,1,45.2
14,1,1,44.25
15,1,1,41.42
16,1,1,53.63
17,1,1,47.69
18,1,1,35.87
19,1,1,49.71
20,1,1,44.84
21,1,1,42.36
22,1,1,47.11
23,1,1,43.57
24,1,1,45.56
25,1,1,46.57
1,2,1,40.47
2,2,1,58.59
3,2,1,58.67
4,2,1,52.71
5,2,1,65.17
6,2,1,61.53
7,2,1,58.42
8,2,1,64.88
9,2,1,65.29
10,2,1,53.51
11,2,1,53.34
12,2,1,53.17
13,2,1,50.59
14,2,1,49.87
15,2,1,50
16,2,1,48.93
17,2,1,51.86
18,2,1,47.07
19,2,1,64.74
20,2,1,60.94
21,2,1,49.78
22,2,1,53.89
23,2,1,54.07
24,2,1,60.8
25,2,1,56.98
1,3,1,55.07
2,3,1,59.16
3,3,1,62.59
4,3,1,70.14
5,3,1,62.67
6,3,1,71.88
7,3,1,57.06
8,3,1,68.22
9,3,1,66.42
10,3,1,55.38
11,3,1,56.7
12,3,1,52.79
13,3,1,54.13
14,3,1,51.21
15,3,1,51.44
16,3,1,58.82
17,3,1,60.04
18,3,1,58.57
19,3,1,63.41
20,3,1,70.05
21,3,1,57.84
22,3,1,49.25
23,3,1,66.33
24,3,1,58.25
25,3,1,58.86
1,4,1,59.63
2,4,1,58.58
3,4,1,57.4
4,4,1,64.91
5,4,1,63.81
6,4,1,65.03
7,4,1,67.43
8,4,1,64.15
9,4,1,69.72
10,4,1,53.9
11,4,1,57.16
12,4,1,61.48
13,4,1,58.68
14,4,1,55.37
15,4,1,63.24
16,4,1,62.97
17,4,1,61.24
18,4,1,60.19
19,4,1,56.36
20,4,1,67.3
21,4,1,58
22,4,1,72.44
23,4,1,69.66
24,4,1,61.32
25,4,1,57.87
1,5,1,51.65
2,5,1,61.98
3,5,1,62.97
4,5,1,62.96
5,5,1,60.44
6,5,1,65.47
7,5,1,62.28
8,5,1,58.36
9,5,1,65.3
10,5,1,60.29
11,5,1,53.32
12,5,1,59.74
13,5,1,49.11
14,5,1,57.42
15,5,1,60.8
16,5,1,60.21
17,5,1,59.73
18,5,1,56.5
19,5,1,55.95
20,5,1,56.08
21,5,1,62.29
22,5,1,57.46
23,5,1,60.25
24,5,1,61.92
25,5,1,72.92
1,6,1,52.64
2,6,1,62.58
3,6,1,65.29
4,6,1,60.59
5,6,1,65.54
6,6,1,73.62
7,6,1,69.16
8,6,1,67.61
9,6,1,65.79
10,6,1,46.13
11,6,1,62.56
12,6,1,50.1
13,6,1,61.6
14,6,1,67.95
15,6,1,51.68
16,6,1,62.91
17,6,1,58.59
18,6,1,52.54
19,6,1,53.33
20,6,1,53.89
21,6,1,59.75
22,6,1,55.59
23,6,1,66.84
24,6,1,74.4
25,6,1,57.96
1,7,1,60.54
2,7,1,65.95
3,7,1,67.26
4,7,1,61.06
5,7,1,66
6,7,1,65.7
7,7,1,70.41
8,7,1,66.24
9,7,1,73.48
10,7,1,55.23
11,7,1,62.86
12,7,1,52.85
13,7,1,52.3
14,7,1,75.31
15,7,1,57.52
16,7,1,61.59
17,7,1,63.78
18,7,1,58.68
19,7,1,64.18
20,7,1,64.44
21,7,1,62.02
22,7,1,63.93
23,7,1,63.93
24,7,1,75.24
25,7,1,61.39
1,8,1,51.82
2,8,1,62.99
3,8,1,67.85
4,8,1,68.98
5,8,1,65.01
6,8,1,62.48
7,8,1,74.62
8,8,1,67.05
9,8,1,64.97
10,8,1,56.62
11,8,1,57.31
12,8,1,64.35
13,8,1,59.72
14,8,1,63.57
15,8,1,57.8
16,8,1,61.87
17,8,1,59.68
18,8,1,62.27
19,8,1,57.82
20,8,1,56.75
21,8,1,73.79
22,8,1,67.3
23,8,1,58.54
24,8,1,62.24
25,8,1,59.87
1,9,1,68.99
2,9,1,70.06
3,9,1,65.67
4,9,1,70.22
5,9,1,65.93
6,9,1,66.12
7,9,1,65.06
8,9,1,66.53
9,9,1,78.25
10,9,1,58.23
11,9,1,59.6
12,9,1,60.72
13,9,1,66.16
14,9,1,57.92
15,9,1,56.04
16,9,1,69.88
17,9,1,59.79
18,9,1,58.88
19,9,1,56.82
20,9,1,57.58
21,9,1,61.63
22,9,1,68.09
23,9,1,71.05
24,9,1,69.54
25,9,1,64.68
1,10,1,42.2
2,10,1,43.88
3,10,1,47.31
4,10,1,55.82
5,10,1,46.82
6,10,1,62.18
7,10,1,52.45
8,10,1,54.47
9,10,1,50.21
10,10,1,39.53
11,10,1,36.31
12,10,1,42.49
13,10,1,45.99
14,10,1,46.02
15,10,1,40.99
16,10,1,41.46
17,10,1,43.39
18,10,1,53.88
19,10,1,41.21
20,10,1,47
21,10,1,57.91
22,10,1,48.4
23,10,1,42.6
24,10,1,46.58
25,10,1,52.83
1,11,1,40.72
2,11,1,45.29
3,11,1,49.88
4,11,1,52.55
5,11,1,60.59
6,11,1,52.66
7,11,1,59
8,11,1,57.25
9,11,1,54.03
10,11,1,35.44
11,11,1,40.99
12,11,1,41.65
13,11,1,44.84
14,11,1,51.6
15,11,1,57.07
16,11,1,53.84
17,11,1,45.93
18,11,1,38.32
19,11,1,45.66
20,11,1,49.05
21,11,1,53.33
22,11,1,54.41
23,11,1,53.52
24,11,1,43.62
25,11,1,55.35
1,12,1,41.07
2,12,1,49.67
3,12,1,52.67
4,12,1,54.94
5,12,1,53.42
6,12,1,45.46
7,12,1,57.98
8,12,1,56.73
9,12,1,53.97
10,12,1,44.39
11,12,1,44.97
12,12,1,45.91
13,12,1,53.5
14,12,1,44.7
15,12,1,47.14
16,12,1,52.64
17,12,1,52.57
18,12,1,53.53
19,12,1,45.41
20,12,1,59.31
21,12,1,50.13
22,12,1,59.63
23,12,1,44.05
24,12,1,51.4
25,12,1,58.05
1,13,1,40.42
2,13,1,45.74
3,13,1,48.31
4,13,1,48.24
5,13,1,51.81
6,13,1,56.16
7,13,1,44.93
8,13,1,56.56
9,13,1,62.18
10,13,1,54.69
11,13,1,51.51
12,13,1,49.28
13,13,1,37.37
14,13,1,43.49
15,13,1,45.24
16,13,1,51.02
17,13,1,47.47
