Environment,Block,Type,Plot_no,Genotype,Trait1,Trait2
loc1,1,test,1,geno2,123.2,7.48
loc1,1,test,2,geno7,108.46,11.88
loc1,1,test,3,geno9,115.5,7.04
loc1,1,test,4,geno10,98.34,6.6
loc1,1,test,5,geno16,107.525,6.38
loc1,1,test,6,geno19,122.375,8.14
loc1,1,test,7,geno23,111.98,7.7
loc1,1,test,8,geno24,111.32,10.34
loc1,1,test,9,geno25,110.88,7.48
loc1,1,test,10,geno32,129.25,10.12
loc1,1,test,11,geno34,127.05,6.38
loc1,1,test,12,geno35,132.3666666,6.16
loc1,1,test,13,geno38,116.9666666,4.62
loc1,1,test,14,geno40,108.9,8.14
loc1,1,test,15,geno50,114.4,7.04
loc1,1,test,16,geno55,115.225,8.36
loc1,1,test,17,geno57,112.75,8.8
loc1,1,test,18,geno58,117.04,5.94
loc1,1,test,19,geno59,109.725,6.6
loc1,1,test,20,geno60,121,6.82
loc1,1,test,21,geno67,111.65,11.22
loc1,1,test,22,geno79,114.84,8.36
loc1,1,test,23,geno85,118.8,6.82
loc1,1,test,24,geno86,115.28,6.16
loc1,1,test,25,geno92,110.88,7.92
loc1,1,test,26,geno94,111.1,8.58
loc1,1,test,27,geno106,151.525,7.04
loc1,1,test,28,geno107,155.375,7.7
loc1,1,test,29,geno110,114.7666666,8.58
loc1,1,test,30,geno113,111.925,5.72
loc1,1,test,31,geno124,122.98,5.72
loc1,1,check,32,check1,96.8,10.56
loc1,1,check,33,check2,109.45,7.92
loc1,1,check,34,check3,119.46,7.26
loc1,1,check,35,check4,107.8,8.14
loc1,1,check,36,check5,92.84,10.78
loc1,2,test,37,geno4,118.8,8.8
loc1,2,test,38,geno6,98.78,7.48
loc1,2,test,39,geno15,113.52,5.06
loc1,2,test,40,geno22,113.85,6.6
loc1,2,test,41,geno26,101.9333333,8.14
loc1,2,test,42,geno29,109.34,10.78
loc1,2,test,43,geno31,131.725,8.8
loc1,2,test,44,geno36,126.72,9.24
loc1,2,test,45,geno56,104.94,8.36
loc1,2,test,46,geno61,126.225,7.7
loc1,2,test,47,geno65,104.94,10.12
loc1,2,test,48,geno66,97.9,6.6
loc1,2,test,49,geno68,99.44,5.72
loc1,2,test,50,geno69,107.8,8.14
loc1,2,test,51,geno73,105.6,7.26
loc1,2,test,52,geno74,114.675,8.36
loc1,2,test,53,geno78,114.675,6.6
loc1,2,test,54,geno83,122.1,8.58
loc1,2,test,55,geno89,116.875,7.04
loc1,2,test,56,geno90,118.14,7.04
loc1,2,test,57,geno91,105.05,5.5
loc1,2,test,58,geno95,108.075,5.94
loc1,2,test,59,geno96,122.32,9.02
loc1,2,test,60,geno104,107.8,8.8
loc1,2,test,61,geno105,111.925,8.14
loc1,2,test,62,geno112,121,6.6
loc1,2,test,63,geno115,113.025,6.38
loc1,2,test,64,geno117,114.675,6.16
loc1,2,test,65,geno119,140.8,8.58
loc1,2,test,66,geno120,123.5666666,7.48
loc1,2,test,67,geno122,110,5.72
loc1,2,check,68,check1,94.6,8.36
loc1,2,check,69,check2,105.16,9.46
loc1,2,check,70,check3,114.7666666,5.94
loc1,2,check,71,check4,110,7.7
loc1,2,check,72,check5,106.15,7.92
loc1,3,test,73,geno1,113.025,6.82
loc1,3,test,74,geno8,99.275,9.02
loc1,3,test,75,geno12,102.3,7.04
loc1,3,test,76,geno14,109.78,5.72
loc1,3,test,77,geno17,109.34,6.38
loc1,3,test,78,geno20,114.675,7.04
loc1,3,test,79,geno27,116.6,5.5
loc1,3,test,80,geno28,113.96,7.26
loc1,3,test,81,geno30,113.85,7.975
loc1,3,test,82,geno33,102.3,8.36
loc1,3,test,83,geno42,110.275,5.94
loc1,3,test,84,geno44,116.325,6.6
loc1,3,test,85,geno51,106.7,7.26
loc1,3,test,86,geno54,100.1,9.68
loc1,3,test,87,geno62,111.65,5.94
loc1,3,test,88,geno64,102.96,6.6
loc1,3,test,89,geno70,99,6.16
loc1,3,test,90,geno76,99.22,5.94
loc1,3,test,91,geno77,106.7,5.5
loc1,3,test,92,geno84,110,7.04
loc1,3,test,93,geno88,96.525,7.48
loc1,3,test,94,geno93,115.5,6.16
loc1,3,test,95,geno102,109.725,7.04
loc1,3,test,96,geno103,107.25,6.16
loc1,3,test,97,geno108,113.3,7.7
loc1,3,test,98,geno109,117.3333334,8.8
loc1,3,test,99,geno114,113.6666666,7.26
loc1,3,test,100,geno116,114.84,7.26
loc1,3,test,101,geno118,109.34,6.6
loc1,3,test,102,geno121,107.58,6.38
loc1,3,test,103,geno123,114.95,7.04
loc1,3,check,104,check1,93.775,9.02
loc1,3,check,105,check2,115.06,9.46
loc1,3,check,106,check3,109.12,5.5
loc1,3,check,107,check4,101.64,7.04
loc1,3,check,108,check5,103.18,7.48
loc1,4,test,109,geno98,98.175,6.82
loc1,4,test,110,geno100,111.1,10.12
loc1,4,test,111,geno101,98.34,7.04
loc1,4,test,112,geno127,101.475,5.5
loc1,4,test,113,geno129,90.2,6.325
loc1,4,test,114,geno131,77.825,8.14
loc1,4,test,115,geno132,90.86,7.48
loc1,4,test,116,geno134,90.42,5.72
loc1,4,test,117,geno137,111.8333334,6.82
loc1,4,test,118,geno138,95.92,6.38
loc1,4,test,119,geno142,93.06,7.7
