Replication,Variety,Nitrogen,Phosphorus,Yield
1,V01,N0,P0,42.11
2,V01,N0,P0,39.63
3,V01,N0,P0,38.6
1,V01,N0,P1,55.11
2,V01,N0,P1,56.58
3,V01,N0,P1,56.23
1,V01,N1,P0,52.04
2,V01,N1,P0,53.89
3,V01,N1,P0,56.13
1,V01,N1,P1,69.39
2,V01,N1,P1,64.3
3,V01,N1,P1,65.32
1,V01,N2,P0,62.1
2,V01,N2,P0,61.79
3,V01,N2,P0,68.82
1,V01,N2,P1,82.72
2,V01,N2,P1,77.72
3,V01,N2,P1,81.49
1,V02,N0,P0,37.16
2,V02,N0,P0,33.64
3,V02,N0,P0,37.16
1,V02,N0,P1,53.28
2,V02,N0,P1,47.77
3,V02,N0,P1,53.37
1,V02,N1,P0,40.72
2,V02,N1,P0,52.77
3,V02,N1,P0,50.2
1,V02,N1,P1,59.85
2,V02,N1,P1,61.22
3,V02,N1,P1,53.94
1,V02,N2,P0,60.13
2,V02,N2,P0,62.14
3,V02,N2,P0,66.07
1,V02,N2,P1,71.08
2,V02,N2,P1,70.06
3,V02,N2,P1,71.14
1,V03,N0,P0,45.39
2,V03,N0,P0,43.33
3,V03,N0,P0,40.33
1,V03,N0,P1,55.98
2,V03,N0,P1,54.52
3,V03,N0,P1,57.57
1,V03,N1,P0,53.72
2,V03,N1,P0,55.03
3,V03,N1,P0,54.81
1,V03,N1,P1,62.06
2,V03,N1,P1,68.22
3,V03,N1,P1,68.1
1,V03,N2,P0,70.2
2,V03,N2,P0,69.36
3,V03,N2,P0,65.23
1,V03,N2,P1,80.71
2,V03,N2,P1,80.98
3,V03,N2,P1,79.37
1,V04,N0,P0,48.62
2,V04,N0,P0,50.6
3,V04,N0,P0,55.79
1,V04,N0,P1,61.8
2,V04,N0,P1,62.09
3,V04,N0,P1,60.92
1,V04,N1,P0,56.47
2,V04,N1,P0,63.09
3,V04,N1,P0,63.4
1,V04,N1,P1,82.81
2,V04,N1,P1,73.51
3,V04,N1,P1,75.24
1,V04,N2,P0,77.06
2,V04,N2,P0,73.09
3,V04,N2,P0,81.18
1,V04,N2,P1,91.82
2,V04,N2,P1,91.95
3,V04,N2,P1,86.0
1,V05,N0,P0,40.04
2,V05,N0,P0,30.22
3,V05,N0,P0,37.18
1,V05,N0,P1,54.79
2,V05,N0,P1,43.66
3,V05,N0,P1,45.14
1,V05,N1,P0,49.48
2,V05,N1,P0,47.36
3,V05,N1,P0,43.7
1,V05,N1,P1,60.37
2,V05,N1,P1,56.41
3,V05,N1,P1,61.78
1,V05,N2,P0,56.91
2,V05,N2,P0,65.55
3,V05,N2,P0,57.39
1,V05,N2,P1,71.0
2,V05,N2,P1,74.97
3,V05,N2,P1,67.82
1,V06,N0,P0,35.92
2,V06,N0,P0,39.7
3,V06,N0,P0,29.5
1,V06,N0,P1,47.77
2,V06,N0,P1,48.04
3,V06,N0,P1,49.86
1,V06,N1,P0,44.8
2,V06,N1,P0,44.51
3,V06,N1,P0,50.95
1,V06,N1,P1,61.17
2,V06,N1,P1,61.0
3,V06,N1,P1,61.34
1,V06,N2,P0,57.75
2,V06,N2,P0,60.94
3,V06,N2,P0,61.15
1,V06,N2,P1,69.63
2,V06,N2,P1,78.66
3,V06,N2,P1,73.79
1,V07,N0,P0,45.46
2,V07,N0,P0,51.93
3,V07,N0,P0,46.22
1,V07,N0,P1,64.39
2,V07,N0,P1,65.69
3,V07,N0,P1,58.76
1,V07,N1,P0,67.01
2,V07,N1,P0,65.08
3,V07,N1,P0,66.51
1,V07,N1,P1,81.27
2,V07,N1,P1,73.77
3,V07,N1,P1,72.0
1,V07,N2,P0,74.52
2,V07,N2,P0,74.78
3,V07,N2,P0,77.36
1,V07,N2,P1,90.83
2,V07,N2,P1,90.6
3,V07,N2,P1,92.53
1,V08,N0,P0,43.18
2,V08,N0,P0,48.23
3,V08,N0,P0,42.21
1,V08,N0,P1,64.66
2,V08,N0,P1,57.33
