Replication,Line,Tester,Yield,Type
1,Genom100,Genom100,15.14829447,parent
1,Genom102,Genom102,22.74426923,parent
1,Genom104,Genom104,28.07018256,parent
1,Genom106,Genom106,24.13174336,parent
1,Genom111,Genom111,22.83157929,parent
1,Genom112,Genom112,23.24630204,parent
1,Genom113,Genom113,14.73357172,parent
1,Genom114,Genom114,21.55466973,parent
1,Genom115,Genom115,16.54525535,parent
1,Genom117,Genom117,16.91632308,parent
1,Genom118,Genom118,23.22732854,parent
1,Genom119,Genom119,20.27776018,parent
1,Genom120,Genom120,18.29873228,parent
1,Genom131,Genom131,16.87266805,parent
1,Genom136,Genom136,11.59040975,parent
1,Genom142,Genom142,9.145728222,parent
1,Genom144,Genom144,17.20008076,parent
1,Genom146,Genom146,22.94071686,parent
1,Genom147,Genom147,20.03765754,parent
1,Genom148,Genom148,16.98180562,parent
1,Genom149,Genom149,13.62036852,parent
1,Genom150,Genom150,21.15086073,parent
1,Genom151,Genom151,20.58334538,parent
1,Genom155,Genom155,15.97046416,parent
1,Genom157,Genom157,20.79070676,parent
1,Genom160,Genom160,20.51786283,parent
1,Genom164,Genom164,24.86153805,parent
1,Genom166,Genom166,22.04578879,parent
1,Genom173,Genom173,22.91888934,parent
1,Genom175,Genom175,22.3732015,parent
1,Genom176,Genom176,20.69975878,parent
1,Genom19,Genom19,28.20114764,parent
1,Genom194,Genom194,20.24501891,parent
1,Genom195,Genom195,27.67728732,parent
1,Genom196,Genom196,21.71837609,parent
1,Genom20,Genom20,19.03359191,parent
1,Genom202,Genom202,25.64732854,parent
1,Genom206,Genom206,29.00330877,parent
1,Genom21,Genom21,25.01978752,parent
1,Genom216,Genom216,23.7374211,parent
1,Genom222,Genom222,24.55595286,parent
1,Genom23,Genom23,22.97345813,parent
1,Genom231,Genom231,14.40615901,parent
1,Genom234,Genom234,22.7278986,parent
1,Genom237,Genom237,22.2204089,parent
1,Genom238,Genom238,19.05541942,parent
1,Genom239,Genom239,19.73207235,parent
1,Genom240,Genom240,24.31039333,parent
1,Genom241,Genom241,16.91632308,parent
1,Genom247,Genom247,20.70885357,parent
1,Genom248,Genom248,13.86047117,parent
1,Genom251,Genom251,17.592976,parent
1,Genom255,Genom255,19.23003953,parent
1,Genom258,Genom258,9.625933522,parent
1,Genom259,Genom259,20.45238029,parent
1,Genom260,Genom260,17.10731383,parent
1,Genom262,Genom262,18.02952628,parent
1,Genom263,Genom263,15.21377702,parent
1,Genom267,Genom267,19.73207235,parent
1,Genom283,Genom283,19.6665898,parent
1,Genom292,Genom292,25.97474126,parent
1,Genom293,Genom293,11.65589229,parent
1,Genom296,Genom296,15.6503273,parent
1,Genom298,Genom298,11.08837694,parent
1,Genom3,Genom3,17.09094319,parent
1,Genom301,Genom301,11.41578964,parent
1,Genom303,Genom303,23.48640469,parent
1,Genom305,Genom305,11.29573832,parent
1,Genom308,Genom308,16.69804794,parent
1,Genom310,Genom310,19.14272947,parent
1,Genom312,Genom312,23.79198989,parent
1,Genom313,Genom313,16.45794529,parent
1,Genom314,Genom314,22.59147664,parent
1,Genom315,Genom315,18.31328396,parent
1,Genom319,Genom319,18.74983423,parent
1,Genom32,Genom32,17.24373579,parent
1,Genom321,Genom321,13.79498863,parent
1,Genom324,Genom324,20.08131256,parent
1,Genom329,Genom329,18.48790407,parent
1,Genom331,Genom331,19.38283213,parent
1,Genom334,Genom334,18.48790407,parent
1,Genom335,Genom335,16.67622044,parent
1,Genom338,Genom338,14.75539923,parent
1,Genom339,Genom339,16.28332518,parent
1,Genom341,Genom341,13.72950609,parent
1,Genom35,Genom35,14.77722675,parent
1,Genom38,Genom38,25.40176901,parent
1,Genom39,Genom39,18.55338661,parent
1,Genom4,Genom4,21.76203111,parent
1,Genom45,Genom45,21.39096338,parent
1,Genom47,Genom47,21.04172316,parent
1,Genom52,Genom52,29.11790321,parent
1,Genom60,Genom60,22.7006142,parent
1,Genom62,Genom62,12.28889018,parent
1,Genom67,Genom67,19.02631607,parent
1,Genom70,Genom70,22.06803722,parent
1,Genom74,Genom74,21.71927805,parent
1,Genom77,Genom77,22.91888934,parent
1,Genom78,Genom78,19.18092762,parent
1,Genom80,Genom80,15.90680058,parent
1,Genom82,Genom82,22.42777028,parent
1,Genom86,Genom86,19.99945938,parent
1,Genom87,Genom87,18.57521412,parent
1,Genom92,Genom92,21.66380731,parent
1,Genom96,Genom96,21.08537819,parent
1,Genor100,Genor100,16.20692889,parent
1,Genor101,Genor101,18.35693898,parent
1,Genor105,Genor105,14.16059948,parent
1,Genor106,Genor106,19.0117644,parent
1,Genor109,Genor109,19.03359191,parent
1,Genor113,Genor113,17.81125115,parent
1,Genor114,Genor114,18.81531677,parent
1,Genor117,Genor117,23.09350945,parent
1,Genor118,Genor118,21.17268825,parent
1,Genor119,Genor119,20.67065544,parent
1,Genor124,Genor124,18.3787665,parent
1,Genor127,Genor127,16.89449557,parent
1,Genor16,Genor16,22.89706182,parent
1,Genor20,Genor20,20.10859696,parent
1,Genor21,Genor21,17.30921832,parent
1,Genor22,Genor22,10.95741186,parent
