Parent1,Parent2,Replication,Trait
1,1,1,21.25761117
2,2,1,23.32600728
3,3,1,21.83559859
4,4,1,15.16567836
5,5,1,20.4212657
6,6,1,22.42389425
7,7,1,23.20646135
8,8,1,20.51605597
9,9,1,18.89494826
10,10,1,12.7106657
11,11,1,13.28911753
12,12,1,23.38042772
13,13,1,21.24297226
14,14,1,19.18293322
15,15,1,8.300527852
16,16,1,17.30235809
17,17,1,16.61729139
18,18,1,22.6443377
19,19,1,17.12402708
20,20,1,9.096174261
21,21,1,28.20463739
22,22,1,20.80823232
23,23,1,24.14756391
24,24,1,19.61637145
25,25,1,24.01503975
1,2,1,21.97607414
1,3,1,20.41141877
2,3,1,19.01966105
1,4,1,24.95600673
2,4,1,18.00973887
3,4,1,17.98581663
1,5,1,24.86535918
2,5,1,23.49566693
3,5,1,23.3626558
4,5,1,24.90679509
1,6,1,27.24105633
2,6,1,21.32448761
3,6,1,24.65694553
4,6,1,22.10450827
5,6,1,29.28824919
1,7,1,22.90724289
2,7,1,21.09905114
3,7,1,23.4983459
4,7,1,18.94587343
5,7,1,23.67966176
6,7,1,26.11545745
1,8,1,19.43140021
2,8,1,20.71884179
3,8,1,16.91804008
4,8,1,19.18940955
5,8,1,25.68768578
6,8,1,25.61299698
7,8,1,22.01519694
1,9,1,16.60870777
2,9,1,20.42240882
3,9,1,11.72208135
4,9,1,18.80714403
5,9,1,20.69366001
6,9,1,18.67358482
7,9,1,20.20796306
8,9,1,21.42407324
1,10,1,19.65521431
2,10,1,20.02898148
3,10,1,18.70536562
4,10,1,19.79053938
5,10,1,18.75368252
6,10,1,17.55620391
7,10,1,16.37207219
8,10,1,15.20893544
9,10,1,17.18569768
1,11,1,12.70631957
2,11,1,19.34495909
3,11,1,14.8213498
4,11,1,15.32952617
5,11,1,22.05983981
6,11,1,21.30571167
7,11,1,21.1728129
8,11,1,14.88498922
9,11,1,15.96807333
10,11,1,15.72640136
1,12,1,27.54837486
2,12,1,24.5254842
3,12,1,24.06922663
4,12,1,18.00557843
5,12,1,23.87208929
6,12,1,23.94682995
7,12,1,20.09768696
8,12,1,18.0552542
9,12,1,17.27092695
10,12,1,17.91886715
11,12,1,14.16611439
1,13,1,29.03825909
2,13,1,22.80774033
3,13,1,20.24063451
4,13,1,23.44696663
5,13,1,22.86161235
6,13,1,21.40482099
7,13,1,20.12310131
8,13,1,21.55077706
9,13,1,17.54205986
10,13,1,17.20161736
11,13,1,18.81730451
12,13,1,19.5789747
1,14,1,17.33632085
2,14,1,23.67968716
3,14,1,21.13164524
4,14,1,21.25910433
5,14,1,23.59715067
6,14,1,20.79577707
7,14,1,26.14646187
8,14,1,20.62774136
9,14,1,17.96618668
10,14,1,20.05246858
11,14,1,19.99394857
12,14,1,18.02141709
13,14,1,22.82612205
1,15,1,14.19351376
2,15,1,16.0277645
3,15,1,19.02903765
4,15,1,12.89012316
5,15,1,18.19236327
6,15,1,17.70158379
7,15,1,14.05620303
8,15,1,14.16187882
