Genotype,Rep,Trait1,Trait2
Geno1,1,67.28,96
Geno10,1,66.634,84
Geno11,1,112.35,95
Geno12,1,42.064,95
Geno13,1,18.218,84
Geno14,1,26.994,83
Geno15,1,27.424,84
Geno16,1,31.1035,81
Geno17,1,45.084,84
Geno18,1,13.602,84
Geno19,1,48.154,83
Geno2,1,30.5,94
Geno20,1,116.603,74
Geno21,1,12.88,80
Geno22,1,57.305,95
Geno23,1,99.133,94
Geno24,1,13.059,83
Geno25,1,13.841,83
Geno26,1,36.526,83
Geno27,1,43.036,83
Geno28,1,94.414,90
Geno29,1,37.322,84
Geno3,1,18.086,83
Geno30,1,64.51,83
Geno31,1,45.283,80
Geno4,1,12.5,83
Geno5,1,30.53,83
Geno6,1,113.56,79
Geno7,1,112.35,83
Geno8,1,35.156,84
Geno9,1,3.463,111
Geno1,2,76.895,95
Geno10,2,52.917,83
Geno11,2,45.5,95
Geno12,2,26.758,84
Geno13,2,41.953,84
Geno14,2,44.177,83
Geno15,2,11.725,84
Geno16,2,21.087,84
Geno17,2,71.053,92
Geno18,2,76.59969643,81
Geno19,2,27.584,81
Geno2,2,107.64,84
Geno20,2,87.6365,78
Geno21,2,7.965,81
Geno22,2,35.18,96
Geno23,2,47.743,95
Geno24,2,36.615,83
Geno25,2,107.64,83
Geno26,2,41.34,87
Geno27,2,49.72,83
Geno28,2,60.54,83
Geno29,2,84.92,89
Geno3,2,36.138,75
Geno30,2,48.1,84
Geno31,2,63.81,80
Geno4,2,99.133,83
Geno5,2,94.414,84
Geno6,2,90.31,82
Geno7,2,84.225,76
Geno8,2,87.6365,83
Geno9,2,81.42385714,84
Geno1,3,86.51,94
Geno10,3,39.2,83
Geno11,3,56.02,95
Geno12,3,57.37,83
Geno13,3,43.93,84
Geno14,3,61.36,81
Geno15,3,63.52,94
Geno16,3,41.12,84
Geno17,3,59.3,83
Geno18,3,113.56,84
Geno19,3,70.67,80
Geno2,3,32.92,84
Geno20,3,58.67,80
Geno21,3,123.67,94
Geno22,3,90.31,95
Geno23,3,73.42,83
Geno24,3,24.837,83
Geno25,3,46.82,83
Geno26,3,41.67,87
Geno27,3,46.378,61
Geno28,3,43.78,84
Geno29,3,57.86,84
Geno3,3,54.19,84
Geno30,3,80.92,90
Geno31,3,158.4,80
Geno4,3,13.16,83
Geno5,3,49.66,75
Geno6,3,74.1,84
Geno7,3,56.1,83
Geno8,3,57.44,84
Geno9,3,12.56,83
